Chemical Name,CAS RN,Hazardous_Traits
"Benzenesulfonic acid, hydroxydinonyl-, branched, monoammonium salt",223777-68-2,Bioaccumulation
"Benzenesulfonic acid, hydroxydinonyl-, branched, monoammonium salt",223777-68-2,Environmental Persistence
"Benzenesulfonic acid, oxybis[(1,1,3,3-tetramethylbutyl)-, dipotassium salt",75908-83-7,Bioaccumulation
"Benzenesulfonic acid, oxybis[(1,1,3,3-tetramethylbutyl)-, dipotassium salt",75908-83-7,Environmental Persistence
Benzidine dihydrochloride,531-85-1,Carcinogenicity
"Benzidine, salts of",21136-70-9,Carcinogenicity
"Benzidine, salts of", 36341-27-2,Carcinogenicity
"Benzidine, salts of", 531-86-2,Carcinogenicity
"Benzo(g,h,i)perylene",191-24-2,Bioaccumulation
"Benzo(g,h,i)perylene",191-24-2,Environmental Persistence
"Benzo(g,h,i)perylene",191-24-2,Environmental tox
Benzo[a]anthracene,56-55-3,Bioaccumulation
Benzo[a]anthracene,56-55-3,Carcinogenicity
Benzo[a]anthracene,56-55-3,Environmental Persistence
Benzo[a]pyrene (BaP),50-32-8,Bioaccumulation
Benzo[a]pyrene (BaP),50-32-8,Carcinogenicity
Benzo[a]pyrene (BaP),50-32-8,Environmental Persistence
Benzo[a]pyrene (BaP),50-32-8,Genotoxicity
Benzo[a]pyrene (BaP),50-32-8,Neurotoxicity
Benzo[a]pyrene (BaP),50-32-8,Reproductive Toxicity
Benzo[b]fluoranthene,205-99-2,Bioaccumulation
Benzo[b]fluoranthene,205-99-2,Carcinogenicity
Benzo[b]fluoranthene,205-99-2,Environmental Persistence
"Benzo[b]thiophen-3(2H)-one, 4,7-dichloro-2-(4,7-dichloro- 3-oxobenzo[b]thien-2(3H)-ylidene)-",14295-43-3,Bioaccumulation
"Benzo[b]thiophen-3(2H)-one, 4,7-dichloro-2-(4,7-dichloro- 3-oxobenzo[b]thien-2(3H)-ylidene)-",14295-43-3,Environmental Persistence
"Benzo[b]thiophen-3(2H)-one, 5,7-dichloro-2-(6-chloro- 4-methyl-3-oxobenzo[b]thien-2(3H)-ylidene)-4-methyl -",6371-23-9,Bioaccumulation
"Benzo[b]thiophen-3(2H)-one, 5,7-dichloro-2-(6-chloro- 4-methyl-3-oxobenzo[b]thien-2(3H)-ylidene)-4-methyl -",6371-23-9,Environmental Persistence
"Benzo[b]thiophen-3(2H)-one, 5-chloro-2-(5-chloro-4,7- dimethyl-3-oxobenzo[b]thien-2(3H)-ylidene)-4,7-dimethyl -",2379-75-1,Bioaccumulation
"Benzo[b]thiophen-3(2H)-one, 5-chloro-2-(5-chloro-4,7- dimethyl-3-oxobenzo[b]thien-2(3H)-ylidene)-4,7-dimethyl -",2379-75-1,Environmental Persistence
"Benzo[b]thiophen-3(2H)-one, 6-chloro-2-(6-chloro-4-methyl- 3-oxobenzo[b]thien-2(3H)-ylidene)-4-methyl-",2379-74-0,Bioaccumulation
"Benzo[b]thiophen-3(2H)-one, 6-chloro-2-(6-chloro-4-methyl- 3-oxobenzo[b]thien-2(3H)-ylidene)-4-methyl-",2379-74-0,Environmental Persistence
Benzo[c]phenanthrene,195-19-7,Carcinogenicity
Benzo[e]pyrene,192-97-2,Carcinogenicity
"Benzo[h]benz[5,6]acridino[2,1,9,8-klmna]acridine-8,16-dione",475-71-8,Bioaccumulation
"Benzo[h]benz[5,6]acridino[2,1,9,8-klmna]acridine-8,16-dione",475-71-8,Environmental Persistence
Benzo[j]fluoranthene,205-82-3,Bioaccumulation
Benzo[j]fluoranthene,205-82-3,Carcinogenicity
Benzo[j]fluoranthene,205-82-3,Environmental Persistence
Benzo[j]fluoranthene,205-82-3,Environmental tox
Benzo[k]fluoranthene,207-08-9,Bioaccumulation
Benzo[k]fluoranthene,207-08-9,Carcinogenicity
Benzo[k]fluoranthene,207-08-9,Environmental Persistence
Benzofuran,271-89-6,Carcinogenicity
"Benzoic acid, 2,3,4,5-tetrachloro-6-(2, 4,5,7-tetrabromo-6-hydroxy-3-oxo-3H-xanthen-9-yl) -",2134-15-8,Bioaccumulation
"Benzoic acid, 2,3,4,5-tetrachloro-6-(2, 4,5,7-tetrabromo-6-hydroxy-3-oxo-3H-xanthen-9-yl) -",2134-15-8,Environmental Persistence
"Benzoic acid, 2,3,4,5-tetrachloro-6-cyano-, methyl ester, reaction products with 4-[(4-aminophenyl)azo]-3-methylbenzenamine and sodium methoxide",106276-78-2,Bioaccumulation
"Benzoic acid, 2,3,4,5-tetrachloro-6-cyano-, methyl ester, reaction products with 4-[(4-aminophenyl)azo]-3-methylbenzenamine and sodium methoxide",106276-78-2,Environmental Persistence
"Benzoic acid, 2-[(3,5-dibromo-4-hydroxyphenyl) (3,5-dibromo-4-oxo-2,5-cyclohexadien-1-ylidene )methyl]-, ethyl ester",1176-74-5,Bioaccumulation
"Benzoic acid, 2-[(3,5-dibromo-4-hydroxyphenyl) (3,5-dibromo-4-oxo-2,5-cyclohexadien-1-ylidene )methyl]-, ethyl ester",1176-74-5,Environmental Persistence
Benzol forerunnings (coal),65996-88-5,Carcinogenicity
Benzol forerunnings (coal),65996-88-5,Genotoxicity
"Benzonitrile, 2-[[4-[(2-cyanoethyl)(2-phenylethyl) amino]phenyl]azo]-5-nitro-",24610-00-2,Bioaccumulation
"Benzonitrile, 2-[[4-[(2-cyanoethyl)(2-phenylethyl) amino]phenyl]azo]-5-nitro-",24610-00-2,Environmental Persistence
"Benzonitrile, 2-[[4-[[2-(acetyloxy)ethyl] butylamino]-2-methylphenyl]azo]-3-bromo-5-nitro -",72828-63-8,Bioaccumulation
"Benzonitrile, 2-[[4-[[2-(acetyloxy)ethyl] butylamino]-2-methylphenyl]azo]-3-bromo-5-nitro -",72828-63-8,Environmental Persistence
"Benzonitrile, 3-bromo-2-[[4-(diethylamino) -2-methylphenyl]azo]-5-methyl-",83249-49-4,Bioaccumulation
"Benzonitrile, 3-bromo-2-[[4-(diethylamino) -2-methylphenyl]azo]-5-methyl-",83249-49-4,Environmental Persistence
Benzophenone,119-61-9,Carcinogenicity
Benzotrichloride,98-07-7,Carcinogenicity
Benzotrichloride,98-07-7,Dermatotoxicity
Benzotrichloride,98-07-7,Hepatotoxicity and Digestive System Toxicity
Benzotrichloride,98-07-7,Neurotoxicity
Benzotrichloride,98-07-7,Respiratory Toxicity
"Benzoxazolium, 2-[3-[5,6-dichloro-1-ethyl- 1,3-dihydro-3-(3-sulfopropyl)-2H-benzimidazol-2 -ylidene]-1-propenyl]-3-ethyl-, hydroxide, inner salt",19163-98-5,Bioaccumulation
"Benzoxazolium, 2-[3-[5,6-dichloro-1-ethyl- 1,3-dihydro-3-(3-sulfopropyl)-2H-benzimidazol-2 -ylidene]-1-propenyl]-3-ethyl-, hydroxide, inner salt",19163-98-5,Environmental Persistence
Benzoyl chloride,98-88-4,Carcinogenicity
Benzphetamine hydrochloride,5411-22-3,Developmental Toxicity
Benzyl Alcohol,100-51-6,Fragrance Allergen
Benzyl benzoate,120-51-4,Fragrance Allergen
Benzyl chloride,100-44-7,Carcinogenicity
Benzyl chloride,100-44-7,Dermatotoxicity
Benzyl chloride,100-44-7,Ocular Toxicity
Benzyl chloride,100-44-7,Respiratory Toxicity
Benzyl salicylate,118-58-1,Fragrance Allergen
Benzyl violet 4B,1694-09-3,Carcinogenicity
Beryllium oxide,1304-56-9,Carcinogenicity
Beryllium sulfate,13510-49-1,Carcinogenicity
beta-Butyrolactone,3068-88-0,Carcinogenicity
"Beta-Cyclodextrin, compd. with 1,1,2,2,3,3,4,4,5,5,6,6,6-tridecafluoro-1-hexanesulfonic acid ion(1-)(1:1)",1329995-45-0,Bioaccumulation
"Beta-Cyclodextrin, compd. with 1,1,2,2,3,3,4,4,5,5,6,6,6-tridecafluoro-1-hexanesulfonic acid ion(1-)(1:1)",1329995-45-0,Environmental Persistence
beta-hexabromocyclododecane,134237-51-7,Bioaccumulation
beta-hexabromocyclododecane,134237-51-7,Environmental Persistence
beta-Hexachlorocyclohexane (b-HCH),319-85-7,Carcinogenicity
beta-Hexachlorocyclohexane (b-HCH),319-85-7,Environmental Persistence
beta-Hexachlorocyclohexane (b-HCH),319-85-7,Hematotoxicity
beta-Hexachlorocyclohexane (b-HCH),319-85-7,Hepatotoxicity and Digestive System Toxicity
beta-Hexachlorocyclohexane (b-HCH),319-85-7,Nephrotoxicity and Other Toxicity to the Urinary System
beta-Hexachlorocyclohexane (b-HCH),319-85-7,Neurotoxicity
beta-Myrcene,123-35-3,Carcinogenicity
beta-Propiolactone,57-57-8,Carcinogenicity
beta-Propiolactone,57-57-8,Ocular Toxicity
beta-Propiolactone,57-57-8,Respiratory Toxicity
Bevacizumab,216974-75-3,Developmental Toxicity
Bevacizumab,216974-75-3,Reproductive Toxicity
Bifenthrin,82657-04-3,Environmental tox
Binapacryl (ISO),485-31-4,Reproductive Toxicity
"Biphenyl-3,3',4,4'-tetrayltetraamine",91-95-2,Carcinogenicity
bis(2-(2-methoxyethoxy)ethyl)ether,143-24-8,Reproductive Toxicity
"Bis(2-chloro-1-methylethyl)ether, technical grade",108-60-1,Carcinogenicity
"Bis(2-chloro-1-methylethyl)ether, technical grade",108-60-1,Hematotoxicity
Bis(2-Chloroethoxy) Methane,111-91-1,Environmental tox
Bis(2-chloroethyl)ether (BCEE),111-44-4,Carcinogenicity
Bis(2-chloroethyl)phosphate (BCEP),3040-56-0,Carcinogenicity
Bis(2-ethyl-1-hexyl)tetrabromophthalate (TBPH),26040-51-7,Bioaccumulation
Bis(2-ethyl-1-hexyl)tetrabromophthalate (TBPH),26040-51-7,Carcinogenicity
Bis(2-ethyl-1-hexyl)tetrabromophthalate (TBPH),26040-51-7,Developmental Toxicity
Bis(2-ethyl-1-hexyl)tetrabromophthalate (TBPH),26040-51-7,Environmental Persistence
Bis(2-ethyl-1-hexyl)tetrabromophthalate (TBPH),26040-51-7,Reproductive Toxicity
Bis(2-methoxyethyl) ether,111-96-6,Reproductive Toxicity
Bis(2-methoxyethyl) phthalate,117-82-8,Reproductive Toxicity
bis(4-chlorophenyl) sulphone,80-07-9,Bioaccumulation
bis(4-chlorophenyl) sulphone,80-07-9,Environmental Persistence
"bis(a,a-dimethylbenzyl) peroxide",80-43-3,Reproductive Toxicity
Bis(chloromethyl) ether (BCME),542-88-1,Carcinogenicity
Bis(chloromethyl) ether (BCME),542-88-1,Dermatotoxicity
Bis(chloromethyl) ether (BCME),542-88-1,Ocular Toxicity
Bis(chloromethyl) ether (BCME),542-88-1,Respiratory Toxicity
Bis(hexachlorocyclopentadieno)cyclooctane (Dechlorane Plus),13560-89-9,Bioaccumulation
Bis(hexachlorocyclopentadieno)cyclooctane (Dechlorane Plus),13560-89-9,Carcinogenicity
Bis(hexachlorocyclopentadieno)cyclooctane (Dechlorane Plus),13560-89-9,Developmental Toxicity
Bis(hexachlorocyclopentadieno)cyclooctane (Dechlorane Plus),13560-89-9,Environmental Persistence
Bis(isocyanatomethyl)benzene; [m-XDI],3634-83-1,Respiratory Toxicity
Bischloroethyl nitrosourea (BCNU),154-93-8,Carcinogenicity
Bischloroethyl nitrosourea (BCNU),154-93-8,Developmental Toxicity
"Bismuthine, triphenyl-",603-33-8,Bioaccumulation
"Bismuthine, triphenyl-",603-33-8,Environmental Persistence
Bisphenol A (BPA),80-05-7,Developmental Toxicity
Bisphenol A (BPA),80-05-7,Endocrine Toxicity
Bisphenol A (BPA),80-05-7,Reproductive Toxicity
Bisphenol A diglycidyl ether polymer,25036-25-3,Endocrine Toxicity
Bisphenol AF (BPAF),1478-61-1,Endocrine Toxicity
Bisphenol AF (BPAF),1478-61-1,Reproductive Toxicity
Bisphenol B,77-40-7,Endocrine Toxicity
Bisphenol F (BPF),620-92-8,Endocrine Toxicity
Bisphenol F diglycidyl ether (BFDGE),2095-03-6,Endocrine Toxicity
Bisphenol S (BPS),80-09-1,Endocrine Toxicity
Bisphenol S (BPS),80-09-1,Reproductive Toxicity
Bleomycins,11056-06-7,Carcinogenicity
Bolstar (Sulprofos),35400-43-2,Environmental tox
Boric acid,10043-35-3,Reproductive Toxicity
Boric acid, 11113-50-1,Reproductive Toxicity
"Bornan-2-one; 1,7,7-Trimethylbi-cyclo[2.2.1]-2-heptanone",76-22-2,Fragrance Allergen
"Bornan-2-one; 1,7,7-Trimethylbi-cyclo[2.2.1]-2-heptanone", 21368-68-3,Fragrance Allergen
"Bornan-2-one; 1,7,7-Trimethylbi-cyclo[2.2.1]-2-heptanone", 464-49-3,Fragrance Allergen
"Bornan-2-one; 1,7,7-Trimethylbi-cyclo[2.2.1]-2-heptanone", 464-48-2,Fragrance Allergen
Boron,7440-42-8,Developmental Toxicity
Boron,7440-42-8,Environmental tox
Brodifacoum (ISO),56073-10-0,Reproductive Toxicity
Bromacil lithium salt,53404-19-6,Developmental Toxicity
Bromacil lithium salt,53404-19-6,Reproductive Toxicity
Bromate,15541-45-4,Carcinogenicity
"Bromelain, juice",9001-00-7,Respiratory Toxicity
Brominated flame retardants,1163-19-5,Bioaccumulation
Brominated flame retardants,1163-19-5,Environmental Persistence
Bromochloroacetic acid,5589-96-8,Carcinogenicity
Bromodichloroacetic acid,71133-14-7,Carcinogenicity
Bromodichloromethane,75-27-4,Carcinogenicity
Bromodichloromethane,75-27-4,Hepatotoxicity and Digestive System Toxicity
Bromodichloromethane,75-27-4,Nephrotoxicity and Other Toxicity to the Urinary System
Bromodichloromethane,75-27-4,Neurotoxicity
Bromoethane,74-96-4,Carcinogenicity
Bromoform,75-25-2,Carcinogenicity
Bromoform,75-25-2,Hepatotoxicity and Digestive System Toxicity
Bromoform,75-25-2,Nephrotoxicity and Other Toxicity to the Urinary System
Bromoform,75-25-2,Neurotoxicity
Bromoxynil,1689-84-5,Developmental Toxicity
Bromoxynil octanoate,1689-99-2,Developmental Toxicity
Bumetrizole (UV-326),3896-11-5,Bioaccumulation
Bumetrizole (UV-326),3896-11-5,Environmental Persistence
Bunsenite,34492-97-2,Carcinogenicity
Butabarbital sodium,143-81-7,Developmental Toxicity
"Butanamide, 2,2'-[(3,3'-dimethoxy[1,1'- biphenyl]-4,4'-diyl)bis(azo)]bis[N-(2-methylphenyl )-3-oxo-",7147-42-4,Bioaccumulation
"Butanamide, 2,2'-[(3,3'-dimethoxy[1,1'- biphenyl]-4,4'-diyl)bis(azo)]bis[N-(2-methylphenyl )-3-oxo-",7147-42-4,Environmental Persistence
"Butanamide, 2-[[3,3'-dichloro-4'-[[1- [[(2-chlorophenyl)amino]carbonyl]-2-oxopropyl]azo ][1,1'-biphenyl]-4-yl]azo]-N-(2,4-dimethylphenyl)- 3-oxo-",78952-70-2,Bioaccumulation
"Butanamide, 2-[[3,3'-dichloro-4'-[[1- [[(2-chlorophenyl)amino]carbonyl]-2-oxopropyl]azo ][1,1'-biphenyl]-4-yl]azo]-N-(2,4-dimethylphenyl)- 3-oxo-",78952-70-2,Environmental Persistence
"Butanamide, 2-[2,4-bis(1,1-dimethylpropyl) phenoxy]-N-[4-(2-formylhydrazino)phenyl]-",86551-61-3,Bioaccumulation
"Butanamide, 2-[2,4-bis(1,1-dimethylpropyl) phenoxy]-N-[4-(2-formylhydrazino)phenyl]-",86551-61-3,Environmental Persistence
"Butane (containing = 0,1 % butadiene (203-450-8))",106-97-8,Carcinogenicity
"Butane (containing = 0,1 % butadiene (203-450-8))",106-97-8,Genotoxicity
Butyl benzyl phthalate (BBP),85-68-7,Developmental Toxicity
Butyl benzyl phthalate (BBP),85-68-7,Endocrine Toxicity
Butyl benzyl phthalate (BBP),85-68-7,Hepatotoxicity and Digestive System Toxicity
Butyl benzyl phthalate (BBP),85-68-7,Immunotoxicity
Butyl benzyl phthalate (BBP),85-68-7,Neurotoxicity
Butyl benzyl phthalate (BBP),85-68-7,Reproductive Toxicity
Butyl benzyl phthalate (BBP),85-68-7,Respiratory Toxicity
Butyl methacrylate,97-88-1,Carcinogenicity
Butylated hydroxyanisole (BHA),25013-16-5,Carcinogenicity
Butylparaben,94-26-8,Endocrine Toxicity
Butylparaben,94-26-8,Reproductive Toxicity
"C,C'-azodi(formamide)",123-77-3,Respiratory Toxicity
Cacodylic acid,75-60-5,Carcinogenicity
Cacodylic acid,75-60-5,Cardiovascular Toxicity
Cacodylic acid,75-60-5,Dermatotoxicity
Cacodylic acid,75-60-5,Developmental Toxicity
Cacodylic acid,75-60-5,Neurotoxicity
Cacodylic acid,75-60-5,Respiratory Toxicity
Cadmium carbonate,513-78-0,Carcinogenicity
Cadmium carbonate,513-78-0,Genotoxicity
Cadmium chloride,10108-64-2,Carcinogenicity
Cadmium chloride,10108-64-2,Genotoxicity
Cadmium chloride,10108-64-2,Reproductive Toxicity
Cadmium fluoride,7790-79-6,Carcinogenicity
Cadmium fluoride,7790-79-6,Genotoxicity
Cadmium fluoride,7790-79-6,Reproductive Toxicity
Cadmium hydroxide,21041-95-2,Carcinogenicity
Cadmium hydroxide,21041-95-2,Genotoxicity
Cadmium nitrate,10325-94-7,Carcinogenicity
Cadmium nitrate,10325-94-7,Genotoxicity
"Cadmium oxide, (non-pyrophoric)",1306-19-0,Carcinogenicity
Cadmium sulphate,10124-36-4,Carcinogenicity
Cadmium sulphate,10124-36-4,Genotoxicity
Cadmium sulphate,10124-36-4,Reproductive Toxicity
Cadmium sulphide,1306-23-6,Carcinogenicity
Caffeic acid,331-39-5,Carcinogenicity
Calcium chromate,13765-19-0,Carcinogenicity
Calcium cyanamide,156-62-7,Dermatotoxicity
Calcium cyanamide,156-62-7,Ocular Toxicity
Calcium cyanamide,156-62-7,Respiratory Toxicity
Calcium cyanide,592-01-8,Reproductive Toxicity
Cananga Odorata oil/extract,83863-30-3,Fragrance Allergen
Cananga Odorata oil/extract, 8006-81-3,Fragrance Allergen
Cananga Odorata oil/extract, 68606-83-7,Fragrance Allergen
Cananga Odorata oil/extract, 93686-30-7,Fragrance Allergen
Caprolactam,105-60-2,Ocular Toxicity
Caprolactam,105-60-2,Respiratory Toxicity
Captafol,2425-06-1,Carcinogenicity
Captan,133-06-2,Carcinogenicity
Carbadox (INN),6804-07-5,Carcinogenicity
Carbamazepine,298-46-4,Developmental Toxicity
"Carbamic acid, (3,4-dichlorophenyl)-, 2-[butyl[4-(2,2-dicyanoethenyl) -3-methylphenyl]amino]ethyl ester",59583-77-6,Bioaccumulation
"Carbamic acid, (3,4-dichlorophenyl)-, 2-[butyl[4-(2,2-dicyanoethenyl) -3-methylphenyl]amino]ethyl ester",59583-77-6,Environmental Persistence
"Carbamic acid, [2-[(2-chloro-4-nitrophenyl) azo]-5-(diethylamino)phenyl]-, 2-ethoxyethyl ester",68214-66-4,Bioaccumulation
"Carbamic acid, [2-[(2-chloro-4-nitrophenyl) azo]-5-(diethylamino)phenyl]-, 2-ethoxyethyl ester",68214-66-4,Environmental Persistence
"Carbamic acid, [4-[[4-[(4-hydroxyphenyl) azo]-2-methylphenyl]azo]phenyl]-, methyl ester",6465-02-7,Bioaccumulation
"Carbamic acid, [4-[[4-[(4-hydroxyphenyl) azo]-2-methylphenyl]azo]phenyl]-, methyl ester",6465-02-7,Environmental Persistence
"Carbamic acid, cyclohexyl-, nitrilotri-2,1-ethanediyl ester",93918-79-7,Bioaccumulation
"Carbamic acid, cyclohexyl-, nitrilotri-2,1-ethanediyl ester",93918-79-7,Environmental Persistence
Carbaryl,63-25-2,Carcinogenicity
Carbaryl,63-25-2,Developmental Toxicity
Carbaryl,63-25-2,Neurotoxicity
Carbaryl,63-25-2,Reproductive Toxicity
Carbazole,86-74-8,Carcinogenicity
Carbendazim (ISO),10605-21-7,Genotoxicity
Carbendazim (ISO),10605-21-7,Reproductive Toxicity
carbetamide (ISO),16118-49-3,Reproductive Toxicity
Carbofuran,1563-66-2,Developmental Toxicity
Carbofuran,1563-66-2,Neurotoxicity
Carbofuran,1563-66-2,Reproductive Toxicity
"Carbon black (airborne, unbound particles of respirable size)",1333-86-4,Carcinogenicity
Carbon disulfide,75-15-0,Developmental Toxicity
Carbon disulfide,75-15-0,Neurotoxicity
Carbon disulfide,75-15-0,Reproductive Toxicity
Carbon monoxide,630-08-0,Cardiovascular Toxicity
Carbon monoxide,630-08-0,Developmental Toxicity
Carbon monoxide,630-08-0,Neurotoxicity
Carbon monoxide,630-08-0,Reproductive Toxicity
"Carbon nanotubes, multi-walled MWCNT-7",308068-56-6,Carcinogenicity
Carbon tetrachloride,56-23-5,Carcinogenicity
Carbon tetrachloride,56-23-5,Cardiovascular Toxicity
Carbon tetrachloride,56-23-5,Developmental Toxicity
Carbon tetrachloride,56-23-5,Hepatotoxicity and Digestive System Toxicity
Carbon tetrachloride,56-23-5,Nephrotoxicity and Other Toxicity to the Urinary System
Carbon tetrachloride,56-23-5,Neurotoxicity
Carbon tetrachloride,56-23-5,Reproductive Toxicity
"Carbonic acid disodium salt, reaction products with aniline, 4-nitrobenzenamine, p-phenylenediamine, sodium sulfide, sulfur and p-toluidine",90268-98-7,Bioaccumulation
"Carbonic acid disodium salt, reaction products with aniline, 4-nitrobenzenamine, p-phenylenediamine, sodium sulfide, sulfur and p-toluidine",90268-98-7,Environmental Persistence
"Carbonic acid, nickel salt",16337-84-1,Carcinogenicity
"Carbonic acid, nickel salt",16337-84-1,Reproductive Toxicity
"Carbonic acid, nickel salt",16337-84-1,Respiratory Toxicity
Carbonyl sulfide,463-58-1,Neurotoxicity
Carbonyl sulfide,463-58-1,Ocular Toxicity
Carboplatin,41575-94-4,Developmental Toxicity
Catechol,120-80-9,Carcinogenicity
Catechol,120-80-9,Dermatotoxicity
Catechol,120-80-9,Neurotoxicity
Cedrus Atlantica Oil/Extract,92201-55-3,Fragrance Allergen
Cedrus Atlantica Oil/Extract, 8023-85-6,Fragrance Allergen
"Cellobiohydrolase, exo-",37329-65-0,Respiratory Toxicity
Cellulase,9012-54-8,Respiratory Toxicity
Cesium,7440-46-2,Neurotoxicity
Chenodiol,474-25-9,Developmental Toxicity
Chloral,75-87-6,Carcinogenicity
Chloral hydrate,302-17-0,Carcinogenicity
Chloral hydrate,302-17-0,Neurotoxicity
Chloramben,133-90-4,Dermatotoxicity
Chlorambucil,305-03-3,Carcinogenicity
Chlorambucil,305-03-3,Developmental Toxicity
Chloramphenicol,56-75-7,Carcinogenicity
Chloramphenicol sodium succinate,982-57-0,Carcinogenicity
Chlorate,14866-68-3,Endocrine Toxicity
Chlorcyclizine hydrochloride,1620-21-9,Developmental Toxicity
Chlordane,57-74-9,Bioaccumulation
Chlordane,57-74-9,Carcinogenicity
Chlordane,57-74-9,Environmental Persistence
Chlordane,57-74-9,Environmental tox
Chlordane,57-74-9,Hepatotoxicity and Digestive System Toxicity
Chlordane,57-74-9,Neurotoxicity
Chlordane (Technical),12789-03-6,Carcinogenicity
Chlordecone,143-50-0,Bioaccumulation
Chlordecone,143-50-0,Carcinogenicity
Chlordecone,143-50-0,Developmental Toxicity
Chlordecone,143-50-0,Environmental Persistence
Chlordiazepoxide,58-25-3,Developmental Toxicity
Chlordiazepoxide hydrochloride,438-41-5,Developmental Toxicity
Chlordimeform,6164-98-3,Carcinogenicity
Chlorendic acid,115-28-6,Carcinogenicity
Chlorethoxyphos,54593-83-8,Developmental Toxicity
Chlorethoxyphos,54593-83-8,Neurotoxicity
Chlorfenvinphos,470-90-6,Neurotoxicity
Chlorhexidine diacetate,56-95-1,Bioaccumulation
Chlorhexidine diacetate,56-95-1,Environmental Persistence
Chlorhexidine diacetate,56-95-1,Environmental tox
Chloride,16887-00-6,Environmental tox
"Chlorinated paraffins (Average chain length, C12;approximately 60 percent chlorine by weight)",108171-26-2,Carcinogenicity
Chlorine,7782-50-5,Ocular Toxicity
Chlorine,7782-50-5,Respiratory Toxicity
Chlorine dioxide,10049-04-4,Neurotoxicity
Chlorine dioxide,10049-04-4,Respiratory Toxicity
Chlorite,7758-19-2,Neurotoxicity
Chlornaphazine,494-03-1,Carcinogenicity
Chloroacetic acid,79-11-8,Dermatotoxicity
Chloroacetic acid,79-11-8,Neurotoxicity
Chloroacetic acid,79-11-8,Ocular Toxicity
Chloroacetic acid,79-11-8,Respiratory Toxicity
Chlorobenzene,108-90-7,Hepatotoxicity and Digestive System Toxicity
Chlorobenzene,108-90-7,Musculoskeletal Toxicity
Chlorobenzene,108-90-7,Nephrotoxicity and Other Toxicity to the Urinary System
Chlorobenzene,108-90-7,Neurotoxicity
Chlorobenzene,108-90-7,Reproductive Toxicity
Chloroethane,75-00-3,Carcinogenicity
Chloroethane,75-00-3,Developmental Toxicity
Chloroethane,75-00-3,Environmental tox
Chloroethane,75-00-3,Hematotoxicity
Chloroethane,75-00-3,Neurotoxicity
Chloroethylvinyl Ether,110-75-8,Environmental tox
Chloroform,67-66-3,Carcinogenicity
Chloroform,67-66-3,Cardiovascular Toxicity
Chloroform,67-66-3,Developmental Toxicity
Chloroform,67-66-3,Hepatotoxicity and Digestive System Toxicity
Chloroform,67-66-3,Nephrotoxicity and Other Toxicity to the Urinary System
Chloroform,67-66-3,Neurotoxicity
Chloroform,67-66-3,Reproductive Toxicity
Chloroform,67-66-3,Respiratory Toxicity
"Chloromethyl methyl ether (technical grade), (CMME)",107-30-2,Carcinogenicity
"Chloromethyl methyl ether (technical grade), (CMME)",107-30-2,Dermatotoxicity
"Chloromethyl methyl ether (technical grade), (CMME)",107-30-2,Ocular Toxicity
"Chloromethyl methyl ether (technical grade), (CMME)",107-30-2,Respiratory Toxicity
"Chloro-N,N-dimethylformiminium chloride",3724-43-4,Reproductive Toxicity
Chlorophacinone (ISO),3691-35-8,Reproductive Toxicity
Chloropicrin,76-06-2,Ocular Toxicity
Chloropicrin,76-06-2,Respiratory Toxicity
Chloroprene,126-99-8,Carcinogenicity
Chloroprene,126-99-8,Cardiovascular Toxicity
Chloroprene,126-99-8,Hepatotoxicity and Digestive System Toxicity
Chloroprene,126-99-8,Neurotoxicity
Chloroprene,126-99-8,Respiratory Toxicity
Chlorothalonil,1897-45-6,Carcinogenicity
Chlorotrianisene,569-57-3,Carcinogenicity
Chlorozotocin,54749-90-5,Carcinogenicity
Chlorpyrifos,2921-88-2,Developmental Toxicity
Chlorpyrifos,2921-88-2,Environmental tox
Chlorpyrifos,2921-88-2,Neurotoxicity
Chlorpyrifos methyl,5598-13-0,Developmental Toxicity
Chlorpyrifos methyl,5598-13-0,Neurotoxicity
"Chromate(1-), bis[3,5-bis(1,1-dimethylethyl) -2-hydroxybenzoato(2-)-O1,O2]-, hydrogen",72869-85-3,Bioaccumulation
"Chromate(1-), bis[3,5-bis(1,1-dimethylethyl) -2-hydroxybenzoato(2-)-O1,O2]-, hydrogen",72869-85-3,Environmental Persistence
Chromium (III),16065-83-1,Environmental tox
Chromium hexavalent compounds (Cr(VI),18540-29-9,Carcinogenicity
Chromium hexavalent compounds (Cr(VI),18540-29-9,Dermatotoxicity
Chromium hexavalent compounds (Cr(VI),18540-29-9,Developmental Toxicity
Chromium hexavalent compounds (Cr(VI),18540-29-9,Hematotoxicity
Chromium hexavalent compounds (Cr(VI),18540-29-9,Hepatotoxicity and Digestive System Toxicity
Chromium hexavalent compounds (Cr(VI),18540-29-9,Reproductive Toxicity
Chromium hexavalent compounds (Cr(VI),18540-29-9,Respiratory Toxicity
Chromium trioxide,1333-82-0,Carcinogenicity
Chromium trioxide,1333-82-0,Genotoxicity
Chromium trioxide,1333-82-0,Respiratory Toxicity
Chromyl dichloride,14977-61-8,Carcinogenicity
Chromyl dichloride,14977-61-8,Genotoxicity
Chrysene,218-01-9,Bioaccumulation
Chrysene,218-01-9,Carcinogenicity
Chrysene,218-01-9,Environmental Persistence
Chymotrypsin,9004-07-3,Respiratory Toxicity
CI Acid Red 114,6459-94-5,Carcinogenicity
CI Basic Red 9 monohydrochloride,569-61-9,Carcinogenicity
CI Basic Violet 3,548-62-9,Carcinogenicity
